"filename", "language", "C#", "XML", "GDResource", "GDScene", "Properties", "GDScript", "comment", "blank", "total"
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\SteamMan\SteamMan_hurt.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\SteamMan\SteamMan_idle.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\SteamMan\SteamMan_jump.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\SteamMan\SteamMan_push.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\SteamMan\SteamMan_run.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\SteamMan\SteamMan_walk.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\Woodcutter\AxeMan.tscn", "GDScene", 0, 0, 0, 201, 0, 0, 0, 36, 237
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\Woodcutter\AxeUnit.cs", "C#", 29, 0, 0, 0, 0, 0, 0, 5, 34
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\Woodcutter\Woodcutter.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\Woodcutter\Woodcutter_attack1.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\Woodcutter\Woodcutter_attack2.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\Woodcutter\Woodcutter_attack3.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\Woodcutter\Woodcutter_climb.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\Woodcutter\Woodcutter_craft.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\Woodcutter\Woodcutter_death.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\Woodcutter\Woodcutter_hurt.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\Woodcutter\Woodcutter_idle.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\Woodcutter\Woodcutter_jump.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\Woodcutter\Woodcutter_push.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\Woodcutter\Woodcutter_run.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\Woodcutter\Woodcutter_walk.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\char_blue.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Skeleton\Attack.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Skeleton\Death.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Skeleton\Idle.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Skeleton\Shield.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Skeleton\Take Hit.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Skeleton\Walk.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\UIElements.cs", "C#", 29, 0, 0, 0, 0, 0, 0, 11, 40
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\UnitType.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\addons\AS2P\InspectorConvertor.gd", "GDScript", 0, 0, 0, 0, 0, 56, 3, 26, 85
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\addons\AS2P\NodeSelectorProperty.gd", "GDScript", 0, 0, 0, 0, 0, 75, 5, 39, 119
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\addons\AS2P\plugin.cfg", "Properties", 0, 0, 0, 0, 6, 0, 0, 2, 8
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\addons\AS2P\plugin.gd", "GDScript", 0, 0, 0, 0, 0, 16, 2, 8, 26
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\background\background_layer_1.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\background\background_layer_2.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\background\background_layer_3.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\bg.tscn", "GDScene", 0, 0, 0, 28, 0, 0, 0, 9, 37
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\decorations\fence_1.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\decorations\fence_2.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\decorations\grass_1.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\decorations\grass_2.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\decorations\grass_3.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\decorations\lamp.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\decorations\oak_woods_tileset.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\decorations\rock_1.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\decorations\rock_2.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\decorations\rock_3.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\decorations\shop.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\decorations\shop_anim.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\decorations\sign.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\house1.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\icon.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\icon.svg.import", "GDResource", 0, 0, 32, 0, 0, 0, 0, 6, 38
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\level.tscn", "GDScene", 0, 0, 0, 1435, 0, 0, 0, 22, 1457
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\leveldesign.cs", "C#", 21, 0, 0, 0, 0, 0, 0, 9, 30
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\leveldesign.tscn", "GDScene", 0, 0, 0, 23, 0, 0, 0, 7, 30
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\project.godot", "GDResource", 0, 0, 12, 0, 0, 0, 7, 10, 29
"Total", "-", 648, 8, 1900, 2163, 6, 147, 69, 830, 5771
